(361.490, 223.603, 1440.466)
(422.657, 126.520, 1244.413)
(425.580,	308.279, 1250.559)
(417.245,	228.503, 1145.594)
(269.175,	68.656, 1378.613)
(302.638, -19.968, 1240.358)
(289.310,	-28.637,	1098.170)
(222.309,	-0.412,	1009.588)
(198.624,	62.761,	884.730)
(261.501,	10.102,	845.884)
(273.254,	384.781,	1382.699)
(329.929,	473.623,	1234.930)
(341.243,	478.575,	1099.256)
(267.589,	488.734,	1009.456)
(206.647,	428.107,879.668)
(293.274,	444.302	,844.325)
(205.779,	107.397,	971.898)
(378.979,	201.056,	996.240)
(373.510,	291.903,	1007.708)
(199.617,	362.035, 974.960)
(138.764,	59.847,	750.133)
(163.940,	444.218,	751.570)
(209.786,	18.433,	740.706)
(236.359,	464.395,	740.473)
